conflict,title,source,url,publish_date,population
Ukraine,"Russia launches rare daytime drone attack on Ukraine, killing four, Ukrainian officials say",reuters.com,https://www.reuters.com/world/europe/russia-launches-rare-daytime-drone-attack-ukraine-killing-four-ukrainian-2026-04-01/,2026-04-01,white
Ukraine,Russia says its troops have taken full control of Luhansk region in eastern Ukraine,reuters.com,https://www.reuters.com/business/aerospace-defense/russia-says-its-troops-have-taken-full-control-luhansk-region-eastern-ukraine-2026-04-01/,2026-04-01,white
Ukraine,Russia says it will respond if Ukraine uses foreign airspace to attack its Baltic ports,reuters.com,https://www.reuters.com/world/europe/russia-says-it-will-respond-if-ukraine-uses-foreign-airspace-attack-its-baltic-2026-03-31/,2026-03-31,white
Ukraine,"Drone arms race transforms war in Ukraine, with U.S. now learning lessons",cbsnews.com,https://www.cbsnews.com/video/drones-transform-warfare-60-minutes-video-2026-03-29/,2026-03-29,white
Ukraine,Ukraine uses drone innovation to help level battlefield in war with Russia,cbsnews.com,https://www.cbsnews.com/news/ukraine-drone-innovation-helps-level-battlefield-war-with-russia-60-minutes-transcript/,2026-03-29,white
Ukraine,"Three dead in Russian attack on Kramatorsk in eastern Ukraine, police say",reuters.com,https://www.reuters.com/world/three-dead-russian-attack-kramatorsk-eastern-ukraine-police-say-2026-03-29/,2026-03-29,white
Ukraine,Ukraine battles a brutal Russian offensive as Iran war takes the world's focus,nbcnews.com,https://www.nbcnews.com/world/ukraine/ukraine-battles-brutal-russian-offensive-iran-war-focus-rcna265068,2026-03-29,white
Ukraine,"Russia is sending upgraded drones used in the Ukraine war to Iran, officials say",apnews.com,https://apnews.com/article/russia-iran-drones-shahed-war-israel-ukraine-840b4f885d99714bdb7813c0d56213cf,2026-03-27,white
Ukraine,"Putin asks oligarchs to donate to Russia's budget as cost of Ukraine war soars, The Bell media reports",reuters.com,https://www.reuters.com/world/putin-asks-oligarchs-donate-russias-budget-cost-ukraine-war-soars-bell-media-2026-03-27/,2026-03-27,white
Ukraine,How drones being used in the Russia-Ukraine war are similar to those in Iran war,cbsnews.com,https://www.cbsnews.com/video/how-drones-being-used-in-the-russia-ukraine-war-are-similar-to-those-in-iran-war/,2026-03-26,white
Ukraine,Zimbabwe says 15 nationals killed fighting for Russia in Ukraine war,bbc.com,https://www.bbc.com/news/articles/clyxevz45x9o,2026-03-26,white
Ukraine,Zimbabwe says 15 nationals killed fighting for Russia in Ukraine war,bbc.com,https://www.bbc.com/news/articles/clyxevz45x9o?at_medium=RSS&at_campaign=rss,2026-03-26,white
Ukraine,Iran war deflects attention from Ukraine as an emboldened Russia starts spring offensive,apnews.com,https://apnews.com/article/russia-ukraine-war-offensive-drones-c9976319f077c743317edec8a20f57f3,2026-03-26,white
Ukraine,Zimbabwe says 15 of its citizens killed after fraudulent recruitment into Russia-Ukraine war,apnews.com,https://apnews.com/article/zimbabwe-russia-ukraine-war-recruitment-78529d023b34e099bcbbaae10e9e306d,2026-03-25,white
Ukraine,Russia Launches Large Daytime Attack on Ukraine,nytimes.com,https://www.nytimes.com/video/world/europe/100000010800147/russia-strikes-lviv-ukraine-war-drones.html,2026-03-25,white
Ukraine,Estonia and Latvia say Russian drones hit their NATO territory amid huge attack on Ukraine,cbsnews.com,https://www.cbsnews.com/news/russia-ukraine-war-drone-attack-estonia-latvia-drones-hit-nato-territory/,2026-03-25,white
Ukraine,"At least five killed in massive wave of Russian strikes across Ukraine, officials say",bbc.com,https://www.bbc.com/news/articles/c87wxvn0z3vo,2026-03-24,white
Ukraine,Russia launches 948 drones at Ukraine in largest attack over a 24-hour period,bbc.com,https://www.bbc.com/news/articles/cz90gpyw90wo,2026-03-24,white
Ukraine,"Russia launches massive drone attack across Ukraine, damaging 17th-century church",cbsnews.com,https://www.cbsnews.com/video/russia-massive-drone-attack-ukraine-damaging-17th-century-church/,2026-03-24,white
Ukraine,Russia launches 948 drones at Ukraine in largest attack over a 24-hour period,bbc.com,https://www.bbc.com/news/articles/cz90gpyw90wo?at_medium=RSS&at_campaign=rss,2026-03-24,white
Ukraine,"Russia launches over 400 drones at Ukraine in rare daytime attack, air force says",reuters.com,https://www.reuters.com/world/europe/russia-launches-over-400-drones-ukraine-rare-daytime-attack-air-force-says-2026-03-24/,2026-03-24,white
Ukraine,"At least five killed in massive wave of Russian strikes across Ukraine, officials say",bbc.com,https://www.bbc.com/news/articles/c87wxvn0z3vo?at_medium=RSS&at_campaign=rss,2026-03-24,white
Ukraine,Austria's OMV CEO says energy impact of Iran war could surpass Ukraine conflict,reuters.com,https://www.reuters.com/business/energy/ceraweek-austrias-omv-ceo-says-energy-impact-iran-war-could-surpass-ukraine-2026-03-23/,2026-03-23,white
Ukraine,"Trump says Ukraine war depleted U.S. weapons stockpiles, but as Iran takes that mantle, Kyiv sees opportunities",cbsnews.com,https://www.cbsnews.com/news/trump-ukraine-iran-war-us-weapons-stockpiles-kyiv-sees-opportunities/,2026-03-23,white
